W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,SimLex
(baby|daughter),(hard|easy),(take|carry),(different|normal),(different|normal),(boy|son),(intelligence|logic),(man|child),(boy|brother),(accept|believe),(night|day),(communication|language),(keep|give),(game|action),(game|action),(woman|wife),(college|class),(game|action),(idea|image),(vehicle|bus),(politician|president),(necessary|important),(water|salt),(beer|alcohol),(house|key),(newspaper|information)
(lose|get),(wide|narrow),(send|receive),(book|article),(business|company),(mouse|cat),(argument|criticism),(add|build),(machine|engine),(machine|engine),(water|salt),(school|law),(club|society),(club|society),(absence|presence),(mouse|management),(give|know),(snow|weather),(word|literature),(disc|computer),(business|industry),(communication|language),(get|put),(child|boy),(mouse|management),(book|story)
(winter|season),(god|spirit),(take|receive),(book|literature),(night|day),(intelligence|logic),(business|industry),(business|industry),(narrow|broad),(glass|crystal),(game|action),(belief|concept),(game|action),(disc|computer),(belief|concept),(friend|mother),(hard|difficult),(man|child),(way|manner),(hard|difficult),(child|adult),(alcohol|wine),(machine|engine),(book|literature),(bring|send),(beach|island)
(sea|ocean),(formal|proper),(tax|income),(man|father),(machine|engine),(make|become),(book|story),(boy|brother),(tax|income),(club|society),(boy|son),(keep|give),(child|boy),(easy|difficult),(college|class),(hard|simple),(keep|give),(boy|son),(phrase|word),(college|class),(disc|computer),(intelligence|logic),(mouse|management),(boy|brother),(money|capital),(communication|television)
(snow|weather),(difficult|simple),(get|put),(communication|language),(word|literature),(machine|engine),(explain|prove),(alcohol|wine),(give|know),(woman|wife),(child|boy),(money|capital),(biography|fiction),(want|choose),(snow|weather),(college|class),(wife|husband),(go|come),(go|enter),(door|gate),(boy|brother),(beach|island),(go|allow),(mouse|management),(man|father),(machine|engine)
(woman|wife),(leave|go),(book|bible),(vehicle|bus),(apparent|obvious),(belief|concept),(winter|season),(boy|son),(president|mayor),(college|class),(college|class),(large|big),(communication|language),(vehicle|bus),(go|come),(night|day),(friend|mother),(large|huge),(right|justice),(administration|management),(belief|concept),(game|action),(tax|income),(belief|concept),(different|normal),(august|month)
(argument|criticism),(alcohol|wine),(leave|remain),(become|appear),(recent|new),(go|allow),(hard|easy),(intelligence|logic),(different|normal),(intelligence|logic),(mouse|cat),(medium|news),(leave|go),(man|father),(leave|remain),(politician|president),(arm|body),(college|class),(give|know),(wife|husband),(dictionary|definition),(create|build),(book|story),(keep|give),(communication|language),(know|believe)
(know|believe),(fast|rapid),(absence|presence),(formal|proper),(business|industry),(water|ice),(mouse|cat),(politician|president),(night|day),(beach|island),(school|law),(college|class),(medium|news),(intelligence|logic),(disc|computer),(communication|language),(word|literature),(beach|island),(go|come),(child|boy),(hard|difficult),(belief|concept),(keep|protect),(club|society),(motor|engine),(discussion|argument)
(book|essay),(leave|remain),(leave|go),(tax|income),(boy|brother),(dictionary|definition),(leave|go),(give|know),(college|class),(belief|concept),(make|become),(water|salt),(take|leave),(large|big),(wife|husband),(disc|computer),(house|key),(book|text),(large|huge),(man|father),(snow|weather),(lose|get),(winter|season),(communication|language),(hard|difficult),(snow|weather)
(take|carry),(give|put),(book|story),(mouse|management),(water|salt),(simple|easy),(tax|income),(woman|wife),(large|big),(get|put),(winter|season),(necessary|important),(machine|engine),(boy|brother),(president|mayor),(right|justice),(plane|airport),(word|literature),(leave|go),(mouse|management),(book|text),(champion|winner),(woman|wife),(man|father),(man|child),(phrase|word)
(leave|go),(go|come),(woman|wife),(lose|get),(wood|paper),(lose|get),(woman|wife),(dictionary|definition),(argument|criticism),(snow|weather),(boy|brother),(door|gate),(plane|airport),(keep|give),(intelligence|logic),(glass|crystal),(belief|concept),(phrase|word),(game|action),(sun|sky),(game|action),(biography|fiction),(make|become),(bring|send),(college|class),(action|course)
(style|fashion),(take|receive),(hard|easy),(president|mayor),(bring|send),(winter|season),(job|management),(necessary|important),(join|add),(disc|computer),(difficult|simple),(tax|income),(hard|difficult),(woman|wife),(machine|engine),(game|action),(book|literature),(date|calendar),(man|father),(bring|send),(go|send),(book|text),(alcohol|wine),(plane|airport),(baby|daughter),(book|article)
(river|sea),(winner|candidate),(job|management),(get|put),(woman|wife),(take|receive),(leave|enter),(hard|easy),(money|capital),(carry|bring),(top|side),(go|allow),(house|key),(child|boy),(right|justice),(snow|weather),(night|day),(area|zone),(hand|foot),(area|zone),(right|justice),(accept|believe),(right|justice),(mouse|cat),(keep|protect),(opinion|choice)
(door|floor),(boat|car),(chemistry|theory),(job|management),(carry|bring),(become|appear),(club|society),(hard|difficult),(essential|necessary),(add|build),(essential|necessary),(chief|mayor),(mouse|cat),(winter|season),(vehicle|bus),(simple|easy),(go|enter),(motor|engine),(friend|mother),(motor|engine),(plane|airport),(hard|easy),(receive|give),(friend|mother),(arm|body),(era|decade)
(way|manner),(glass|crystal),(boy|son),(essential|necessary),(job|management),(plane|airport),(glass|crystal),(go|allow),(song|story),(motor|engine),(go|come),(go|enter),(boy|brother),(mouse|cat),(get|put),(money|capital),(mouse|management),(add|build),(machine|engine),(communication|language),(want|choose),(area|zone),(narrow|broad),(woman|wife),(champion|winner),(keep|protect)
(mouse|cat),(sea|ocean),(necessary|important),(corporation|business),(become|appear),(apparent|obvious),(medium|news),(game|action),(vehicle|bus),(absence|presence),(mouse|management),(idea|image),(essential|necessary),(house|key),(politician|president),(man|child),(communication|language),(president|mayor),(keep|give),(boy|brother),(communication|language),(plane|airport),(word|literature),(king|princess),(book|story),(girl|child)
(get|put),(modern|ancient),(go|allow),(bottom|top),(leave|remain),(student|professor),(man|father),(snow|weather),(fast|rapid),(activity|movement),(club|society),(politician|president),(school|law),(night|day),(make|become),(alcohol|wine),(keep|protect),(disc|computer),(simple|easy),(date|calendar),(sun|sky),(hard|difficult),(hard|difficult),(take|carry),(word|literature),(intelligence|skill)
(decade|century),(become|seem),(argue|prove),(carry|bring),(leave|go),(beer|alcohol),(machine|engine),(motor|engine),(medium|news),(game|action),(go|enter),(club|society),(leave|enter),(large|huge),(alcohol|wine),(essential|necessary),(game|action),(friend|mother),(hard|difficult),(biography|fiction),(card|bridge),(snow|weather),(champion|winner),(go|come),(business|industry),(man|husband)
(fast|rapid),(argument|criticism),(river|sea),(word|page),(disc|computer),(hard|simple),(give|know),(money|capital),(want|choose),(take|carry),(card|bridge),(difficult|simple),(get|put),(girl|child),(medium|news),(go|allow),(tax|income),(narrow|broad),(money|capital),(politician|president),(book|literature),(right|justice),(arm|body),(large|huge),(sun|sky),(door|gate)
(give|know),(father|god),(corporation|business),(boy|son),(take|receive),(situation|condition),(join|add),(president|mayor),(friend|mother),(area|zone),(friend|mother),(girl|child),(idea|image),(child|adult),(night|day),(door|gate),(receive|give),(top|side),(hard|easy),(alcohol|wine),(wife|husband),(house|key),(plane|airport),(politician|president),(friend|mother),(plate|bowl)
(chief|mayor),(tax|income),(come|bring),(people|party),(intelligence|logic),(argument|criticism),(door|gate),(difficult|simple),(add|build),(give|know),(large|big),(leave|enter),(add|build),(machine|engine),(money|capital),(card|bridge),(politician|president),(tax|income),(politician|president),(idea|image),(take|leave),(door|gate),(give|know),(simple|easy),(car|bridge),(club|society)
(motor|boat),(go|allow),(different|normal),(leave|remain),(go|enter),(tax|income),(formal|proper),(communication|language),(plane|airport),(friend|mother),(biography|fiction),(mouse|cat),(large|big),(make|become),(sun|sky),(hard|difficult),(machine|engine),(leave|enter),(biography|fiction),(make|become),(arm|body),(go|enter),(street|car),(money|capital),(large|big),(take|carry)
(go|come),(girl|child),(child|adult),(recent|new),(champion|winner),(leave|go),(make|become),(plane|airport),(necessary|important),(difficult|simple),(hard|difficult),(mouse|management),(receive|give),(essential|necessary),(boy|brother),(leave|go),(car|bridge),(lose|get),(glass|crystal),(man|child),(winter|season),(winter|season),(business|industry),(champion|winner),(snow|weather),(argue|differ)
(come|bring),(take|leave),(friend|teacher),(friend|teacher),(biography|fiction),(night|day),(money|capital),(situation|condition),(go|allow),(beer|alcohol),(hard|simple),(president|mayor),(night|day),(alcohol|wine),(girl|child),(large|big),(street|car),(arm|body),(card|bridge),(song|story),(leave|remain),(woman|wife),(essential|necessary),(add|build),(night|day),(give|allow)
(day|morning),(boy|brother),(go|send),(business|company),(tax|income),(explain|prove),(baby|daughter),(join|add),(go|enter),(water|salt),(leave|enter),(receive|give),(door|gate),(absence|presence),(king|princess),(winter|season),(hard|simple),(give|know),(woman|wife),(activity|movement),(hard|easy),(king|princess),(communication|language),(water|salt),(club|society),(belief|concept)
(modern|ancient),(administration|management),(make|become),(dictionary|definition),(difficult|simple),(man|child),(go|allow),(tax|income),(leave|remain),(winter|season),(communication|language),(glass|crystal),(street|car),(communication|language),(card|bridge),(give|know),(area|zone),(large|big),(club|society),(house|key),(alcohol|wine),(go|allow),(argument|criticism),(area|zone),(alcohol|wine),(argument|criticism)
(student|professor),(simple|easy),(winter|season),(book|text),(mouse|management),(add|build),(vehicle|bus),(child|boy),(difficult|simple),(school|law),(woman|wife),(area|zone),(woman|wife),(water|salt),(argument|criticism),(idea|image),(large|huge),(house|key),(dollar|people),(machine|engine),(give|know),(club|society),(mouse|cat),(different|normal),(leader|manager),(take|receive)
(achieve|try),(politician|president),(snow|weather),(money|capital),(man|father),(large|big),(communication|language),(vehicle|bus),(game|action),(argument|criticism),(alcohol|wine),(make|become),(president|mayor),(give|know),(woman|wife),(club|society),(club|society),(want|choose),(door|gate),(winter|season),(girl|child),(motor|engine),(money|capital),(arm|body),(top|side),(book|bible)
(champion|winner),(boy|soldier),(old|new),(agree|argue),(take|carry),(water|salt),(disc|computer),(wood|paper),(leave|enter),(alcohol|wine),(job|management),(essential|necessary),(difficult|simple),(necessary|important),(club|society),(car|bridge),(winter|season),(value|belief),(arm|body),(argument|criticism),(come|bring),(car|bridge),(house|key),(argument|criticism),(get|put),(book|information)
(god|priest),(boy|son),(alcohol|wine),(go|allow),(strength|might),(man|father),(winner|candidate),(way|manner),(intelligence|logic),(tax|income),(machine|engine),(give|know),(disc|computer),(keep|protect),(essential|necessary),(get|put),(boy|brother),(join|add),(beach|sea),(belief|concept),(president|mayor),(want|choose),(idea|image),(president|mayor),(give|know),(baby|daughter)
(journey|conquest),(necessary|important),(word|page),(go|enter),(book|information),(leave|remain),(champion|winner),(go|enter),(leave|go),(large|big),(want|choose),(card|bridge),(winner|candidate),(money|capital),(difficult|simple),(receive|give),(mouse|cat),(winner|candidate),(leave|remain),(club|society),(mouse|management),(receive|give),(want|choose),(intelligence|logic),(hard|easy),(basketball|baseball)
(king|princess),(take|obtain),(driver|pilot),(leave|go),(baby|daughter),(business|industry),(leave|remain),(come|bring),(formal|proper),(go|allow),(princess|island),(wife|husband),(book|essay),(hard|difficult),(house|key),(house|key),(leave|go),(discussion|argument),(house|key),(essential|necessary),(medium|news),(night|day),(molecule|air),(hard|simple),(go|come),(science|psychology)
(necessary|important),(become|appear),(book|article),(chemistry|theory),(give|put),(communication|language),(go|enter),(idea|image),(school|law),(make|become),(right|justice),(want|choose),(winter|season),(door|gate),(biography|fiction),(beer|alcohol),(formal|proper),(club|society),(street|car),(woman|wife),(club|society),(large|huge),(top|side),(vehicle|bus),(area|zone),(add|build)
(situation|condition),(belief|opinion),(short|long),(door|gate),(lose|get),(take|leave),(mouse|management),(baby|daughter),(right|justice),(communication|language),(song|story),(argument|criticism),(water|salt),(get|put),(idea|image),(argument|criticism),(hard|easy),(go|allow),(night|day),(give|know),(winner|candidate),(hand|foot),(leave|enter),(difficult|simple),(dollar|people),(day|morning)
(child|adult),(dictionary|definition),(night|day),(machine|engine),(try|think),(reality|fantasy),(beer|alcohol),(winter|season),(motor|engine),(idea|image),(door|gate),(biography|fiction),(necessary|important),(join|add),(hard|simple),(difficult|simple),(card|bridge),(hand|foot),(bring|send),(tax|income),(beer|alcohol),(leave|remain),(motor|engine),(princess|island),(card|bridge),(game|action)
(take|obtain),(river|sea),(sun|sky),(night|day),(go|allow),(absence|presence),(get|put),(leave|go),(hard|easy),(door|gate),(president|mayor),(winter|season),(keep|protect),(go|allow),(take|leave),(add|build),(glass|crystal),(water|salt),(vehicle|bus),(go|allow),(mouse|cat),(idea|image),(area|zone),(activity|movement),(leave|go),(chief|mayor)
(formal|proper),(winter|season),(formal|proper),(wide|narrow),(communication|language),(necessary|important),(large|big),(club|society),(beer|alcohol),(recent|new),(receive|give),(add|build),(value|belief),(mouse|management),(necessary|important),(vehicle|bus),(activity|movement),(winter|season),(hard|simple),(champion|winner),(explain|prove),(sun|sky),(politician|president),(hard|difficult),(girl|child),(argue|prove)
(couple|pair),(motor|boat),(belief|concept),(try|think),(door|gate),(recent|new),(wood|paper),(wide|narrow),(hand|foot),(leave|go),(beer|alcohol),(date|calendar),(take|carry),(value|belief),(area|zone),(go|enter),(champion|winner),(money|capital),(argument|criticism),(king|princess),(value|belief),(value|belief),(large|huge),(keep|protect),(game|action),(man|father)
(book|story),(motor|engine),(agree|argue),(take|receive),(absence|presence),(book|essay),(idea|image),(machine|engine),(snow|weather),(right|justice),(plane|airport),(leave|go),(give|know),(champion|winner),(simple|easy),(hard|easy),(money|capital),(keep|give),(mouse|cat),(large|big),(receive|give),(top|side),(hand|foot),(door|gate),(right|justice),(want|choose)
(vehicle|bus),(population|people),(mouse|management),(give|put),(join|add),(home|state),(give|put),(glass|crystal),(simple|easy),(house|key),(necessary|important),(take|leave),(take|receive),(august|month),(keep|protect),(child|adult),(job|management),(machine|engine),(child|adult),(keep|protect),(go|allow),(card|bridge),(value|belief),(molecule|air),(president|mayor),(word|literature)
(take|leave),(machine|engine),(take|leave),(strength|might),(leader|manager),(door|gate),(absence|presence),(door|gate),(champion|winner),(hard|easy),(sun|sky),(princess|island),(king|princess),(molecule|air),(hard|easy),(make|become),(make|become),(king|princess),(code|symbol),(carry|bring),(wide|narrow),(leave|go),(save|protect),(child|adult),(essential|necessary),(become|appear)
(simple|easy),(hand|foot),(decade|century),(argue|prove),(glass|crystal),(child|boy),(wide|narrow),(job|management),(area|zone),(go|enter),(winner|candidate),(right|justice),(song|story),(idea|image),(take|carry),(motor|engine),(get|put),(fast|rapid),(large|big),(chief|mayor),(idea|image),(make|become),(difficult|simple),(make|become),(biography|fiction),(make|become)
(leave|remain),(situation|condition),(plane|airport),(join|add),(sun|sky),(hand|foot),(college|class),(keep|protect),(club|society),(car|bridge),(snow|weather),(house|key),(hard|simple),(card|bridge),(arm|body),(mouse|cat),(august|month),(job|management),(president|mayor),(hard|simple),(bring|send),(student|professor),(send|receive),(hard|easy),(go|enter),(book|essay)
(wood|paper),(august|month),(argument|criticism),(business|industry),(child|boy),(sun|sky),(activity|movement),(school|law),(mouse|cat),(receive|give),(take|carry),(hard|simple),(activity|movement),(bring|send),(student|professor),(keep|protect),(discussion|argument),(song|story),(take|carry),(come|bring),(house|key),(politician|president),(take|leave),(way|manner),(plane|airport),(journey|conquest)
(father|god),(make|become),(become|appear),(champion|winner),(way|manner),(way|manner),(become|appear),(song|story),(mouse|management),(vehicle|bus),(area|zone),(king|princess),(fast|rapid),(right|justice),(baby|daughter),(song|story),(carry|bring),(absence|presence),(add|build),(condition|boy),(way|manner),(hard|simple),(door|floor),(top|side),(vehicle|bus),(beach|sea)
(doctor|professor),(belief|concept),(august|month),(water|ice),(money|capital),(give|put),(take|leave),(beer|alcohol),(girl|child),(bring|send),(idea|scheme),(reality|fantasy),(way|manner),(difficult|simple),(add|build),(wide|narrow),(president|mayor),(take|receive),(carry|bring),(snow|weather),(water|salt),(essential|necessary),(friend|mother),(receive|give),(idea|image),(sky|universe)
(agree|differ),(beer|alcohol),(water|ice),(medium|news),(hard|simple),(medium|news),(school|law),(argument|criticism),(king|princess),(money|capital),(tower|bell),(take|receive),(wide|narrow),(come|bring),(motor|engine),(book|essay),(alcohol|wine),(code|symbol),(join|add),(president|mayor),(argument|criticism),(money|capital),(leave|go),(car|bridge),(explain|prove),(doctor|professor)
(song|story),(wood|paper),(hand|foot),(book|information),(large|big),(song|story),(right|justice),(mouse|management),(winner|candidate),(king|princess),(go|allow),(sun|sky),(child|adult),(activity|movement),(winner|candidate),(want|choose),(beach|sea),(style|fashion),(explain|prove),(hard|easy),(car|bridge),(president|mayor),(biography|fiction),(girl|child),(make|become),(second|minute)
(book|bible),(style|fashion),(book|literature),(way|manner),(necessary|important),(join|add),(hard|simple),(college|class),(glass|crystal),(wide|narrow),(argument|criticism),(woman|wife),(argument|criticism),(college|class),(tax|income),(take|leave),(leave|remain),(leader|manager),(leader|manager),(friend|mother),(top|side),(bring|send),(door|gate),(necessary|important),(way|manner),(room|cell)
(beer|alcohol),(proof|fact),(glass|crystal),(wood|paper),(argue|prove),(motor|engine),(child|adult),(recent|new),(sun|sky),(president|mayor),(hard|easy),(winner|candidate),(snow|weather),(hard|simple),(large|big),(street|car),(biography|fiction),(woman|wife),(champion|winner),(code|symbol),(chief|mayor),(vehicle|bus),(wood|paper),(carry|bring),(king|princess),(actor|singer)
(girl|child),(strength|might),(wood|paper),(come|bring),(car|bridge),(go|enter),(motor|engine),(mouse|cat),(situation|condition),(book|essay),(value|belief),(street|car),(go|allow),(princess|island),(formal|proper),(biography|fiction),(friend|teacher),(make|become),(car|bridge),(dollar|people),(song|story),(give|know),(bring|send),(biography|fiction),(boy|brother),(god|priest)
(join|add),(corporation|business),(intelligence|logic),(leave|enter),(activity|movement),(president|mayor),(lose|get),(hard|simple),(take|leave),(mouse|management),(article|journal),(get|put),(animal|person),(go|enter),(want|choose),(water|salt),(lose|get),(biography|fiction),(receive|give),(fast|rapid),(beach|sea),(argument|criticism),(necessary|important),(leader|manager),(winner|candidate),(effort|difficulty)
(administration|management),(article|journal),(strength|might),(club|society),(beer|alcohol),(vehicle|bus),(girl|child),(give|put),(big|heavy),(wood|paper),(become|appear),(top|side),(join|add),(wide|narrow),(receive|give),(discussion|argument),(take|carry),(idea|image),(wife|husband),(right|justice),(people|gun),(come|bring),(beach|sea),(reality|fantasy),(beer|alcohol),(date|calendar)
(bottom|side),(sun|sky),(book|essay),(biography|fiction),(song|story),(mouse|management),(value|belief),(become|appear),(hard|simple),(date|calendar),(book|essay),(plane|airport),(motor|engine),(reality|fantasy),(hand|foot),(carry|bring),(sun|sky),(take|leave),(value|belief),(foot|head),(long|narrow),(street|car),(medium|news),(wide|narrow),(save|protect),(achieve|try)
(dictionary|definition),(book|story),(day|morning),(go|send),(belief|opinion),(proof|fact),(save|protect),(take|leave),(recent|new),(value|belief),(leave|go),(alcohol|wine),(god|priest),(formal|proper),(become|appear),(area|zone),(send|receive),(receive|give),(area|zone),(child|adult),(friend|mother),(carry|bring),(take|receive),(winter|season),(difficult|simple),(father|brother)
(motor|engine),(attention|interest),(couple|pair),(activity|movement),(vehicle|bus),(condition|boy),(essential|necessary),(sun|sky),(bring|send),(day|morning),(vehicle|bus),(style|fashion),(leave|remain),(president|mayor),(top|side),(wood|paper),(give|put),(baby|daughter),(fast|rapid),(go|send),(woman|wife),(wide|narrow),(large|big),(hand|foot),(go|send),(hand|foot)
(belief|concept),(short|long),(fast|rapid),(become|seem),(august|month),(activity|movement),(king|princess),(right|justice),(absence|presence),(leader|manager),(dollar|people),(apparent|obvious),(car|bridge),(argument|criticism),(go|allow),(take|carry),(value|belief),(send|receive),(necessary|important),(value|belief),(difficult|simple),(explain|prove),(simple|easy),(idea|image),(leave|enter),(man|child)
(politician|president),(intelligence|logic),(man|father),(necessary|important),(wide|narrow),(wood|paper),(way|manner),(date|calendar),(top|side),(proof|fact),(baby|daughter),(child|adult),(top|side),(take|leave),(join|add),(arm|body),(wide|narrow),(leave|remain),(book|essay),(take|carry),(get|put),(article|journal),(action|course),(essential|necessary),(date|calendar),(college|class)
(opinion|choice),(job|management),(wide|narrow),(proof|fact),(right|justice),(winner|candidate),(driver|pilot),(king|princess),(take|carry),(explain|prove),(champion|winner),(snow|weather),(apparent|obvious),(receive|give),(take|receive),(hand|foot),(go|allow),(chief|mayor),(discussion|argument),(discussion|argument),(take|receive),(leader|manager),(king|princess),(winner|candidate),(child|adult),(explain|prove)
(night|day),(vehicle|bus),(author|creator),(lose|keep),(essential|necessary),(animal|person),(apparent|obvious),(simple|easy),(take|receive),(essential|necessary),(take|leave),(code|symbol),(hand|foot),(street|car),(give|put),(girl|child),(argument|criticism),(plane|airport),(winter|season),(top|side),(date|calendar),(bottom|side),(come|bring),(sun|sky),(go|allow),(arm|body)
(machine|engine),(word|dictionary),(belief|opinion),(couple|pair),(come|bring),(article|journal),(book|essay),(style|fashion),(wood|paper),(student|professor),(wood|paper),(big|heavy),(sun|sky),(fast|rapid),(street|car),(come|bring),(go|send),(activity|movement),(make|become),(add|build),(book|essay),(august|month),(card|bridge),(card|bridge),(carry|bring),(wealth|fame)
(tower|bell),(god|priest),(motor|engine),(take|leave),(take|leave),(take|carry),(fast|rapid),(driver|pilot),(reality|fantasy),(leave|enter),(molecule|air),(leave|remain),(friend|mother),(car|bridge),(big|heavy),(phrase|word),(absence|presence),(vehicle|bus),(get|put),(go|enter),(leave|enter),(become|appear),(code|symbol),(machine|engine),(come|bring),(go|enter)
(leader|manager),(sky|universe),(boy|soldier),(save|protect),(simple|easy),(big|heavy),(snow|weather),(carry|bring),(august|month),(necessary|important),(absence|presence),(hand|foot),(code|symbol),(take|carry),(chief|mayor),(join|add),(child|adult),(hard|easy),(top|side),(people|gun),(simple|easy),(child|adult),(president|mayor),(take|leave),(add|build),(song|story)
(winner|goal),(word|literature),(vehicle|bus),(song|story),(fast|rapid),(boat|car),(come|bring),(hand|foot),(become|appear),(song|story),(arm|body),(carry|bring),(girl|child),(hard|easy),(code|symbol),(condition|boy),(agree|argue),(essential|necessary),(sun|sky),(arm|body),(make|become),(formal|proper),(agree|argue),(motor|engine),(tower|bell),(job|management)
(sky|universe),(day|morning),(new|ancient),(send|receive),(home|state),(glass|crystal),(chief|mayor),(receive|give),(card|bridge),(simple|easy),(keep|protect),(bring|send),(recent|new),(recent|new),(molecule|air),(bring|send),(leave|enter),(bring|send),(girl|child),(way|manner),(hard|simple),(take|carry),(way|manner),(big|heavy),(hand|foot),(logic|arithmetic)
(try|think),(way|manner),(large|big),(snow|weather),(winner|candidate),(keep|protect),(situation|condition),(biography|fiction),(way|manner),(girl|child),(recent|new),(vehicle|bus),(job|management),(leader|manager),(book|essay),(code|symbol),(code|symbol),(leave|go),(come|bring),(august|month),(go|enter),(baby|daughter),(go|enter),(come|bring),(receive|give),(son|father)
(era|decade),(biography|fiction),(machine|engine),(beer|alcohol),(club|society),(idea|scheme),(biography|fiction),(leave|remain),(activity|movement),(big|heavy),(add|build),(hard|easy),(go|enter),(add|build),(car|bridge),(take|receive),(beer|alcohol),(beer|alcohol),(animal|person),(join|add),(hand|foot),(agree|argue),(vehicle|bus),(recent|new),(money|diamond),(go|send)
(corporation|business),(child|adult),(book|text),(day|morning),(motor|engine),(send|receive),(recent|new),(top|side),(molecule|air),(leave|remain),(way|manner),(champion|winner),(rice|boy),(top|side),(champion|winner),(necessary|important),(large|big),(beach|sea),(date|calendar),(princess|island),(become|appear),(molecule|air),(beer|alcohol),(go|enter),(begin|go),(word|dictionary)
(battle|conquest),(king|princess),(child|boy),(disc|computer),(keep|protect),(club|society),(alcohol|wine),(send|receive),(animal|person),(champion|winner),(big|heavy),(arm|body),(alcohol|wine),(plane|airport),(leader|manager),(money|diamond),(take|receive),(agree|argue),(song|story),(receive|give),(god|priest),(absence|presence),(add|build),(foot|head),(word|newspaper),(medium|news)
(adult|baby),(child|boy),(hard|simple),(decade|century),(girl|child),(leave|enter),(leader|manager),(take|carry),(save|protect),(winner|candidate),(house|key),(fast|rapid),(make|become),(go|send),(god|priest),(chief|mayor),(add|build),(take|carry),(reality|fantasy),(card|bridge),(keep|protect),(arm|body),(hard|simple),(take|receive),(lose|get),(give|put)
(begin|go),(mouse|management),(brother|soul),(boat|car),(plane|airport),(biography|fiction),(necessary|important),(idea|scheme),(idea|image),(strength|might),(leader|manager),(day|morning),(money|capital),(take|receive),(princess|island),(champion|winner),(necessary|important),(alcohol|wine),(essential|necessary),(day|morning),(take|carry),(large|big),(formal|proper),(leave|go),(woman|wife),(plane|airport)
(wealth|fame),(book|bible),(girl|child),(girl|child),(explain|prove),(area|zone),(hand|foot),(child|adult),(receive|give),(biography|fiction),(hand|foot),(foot|head),(friend|teacher),(arm|body),(august|month),(become|appear),(word|newspaper),(give|put),(leave|enter),(baby|daughter),(activity|movement),(get|put),(car|bridge),(give|know),(join|add),(north|west)
(long|narrow),(wealth|fame),(communication|language),(glass|crystal),(get|remain),(carry|bring),(game|action),(value|belief),(apparent|obvious),(hard|simple),(simple|easy),(beer|alcohol),(discussion|argument),(motor|boat),(leave|appear),(top|side),(want|choose),(molecule|air),(foot|head),(beer|alcohol),(leader|manager),(book|essay),(girl|child),(driver|pilot),(wide|narrow),(go|allow)
(difficult|simple),(leave|appear),(song|story),(large|big),(boat|car),(wide|narrow),(add|build),(area|zone),(get|put),(way|manner),(take|receive),(take|carry),(lose|get),(big|heavy),(room|cell),(explain|prove),(tower|bell),(card|bridge),(keep|protect),(beach|sea),(code|symbol),(belief|opinion),(book|essay),(dollar|people),(people|gun),(father|god)
(foot|head),(night|day),(way|manner),(idea|image),(day|morning),(alcohol|wine),(plane|airport),(bring|send),(lose|get),(tower|bell),(motor|engine),(explain|prove),(card|bridge),(job|management),(long|narrow),(word|newspaper),(wood|paper),(hard|simple),(wide|narrow),(money|capital),(send|receive),(chief|mayor),(tower|bell),(send|receive),(street|car),(long|narrow)
(effort|difficulty),(communication|language),(become|seem),(article|journal),(student|professor),(save|protect),(achieve|try),(student|professor),(condition|boy),(top|side),(activity|movement),(value|belief),(get|remain),(proof|fact),(child|adult),(job|management),(top|side),(dollar|people),(take|receive),(hand|foot),(student|professor),(rice|boy),(animal|person),(absence|presence),(august|month),(idea|image)
(population|people),(water|ice),(dictionary|definition),(fast|rapid),(game|action),(car|bridge),(carry|bring),(take|receive),(date|calendar),(take|leave),(formal|proper),(keep|protect),(proof|fact),(beach|sea),(way|manner),(leave|enter),(hand|foot),(go|send),(motor|engine),(leader|manager),(belief|opinion),(add|build),(god|priest),(job|management),(take|leave),(brother|son)
(date|calendar),(chemistry|theory),(situation|condition),(winner|candidate),(friend|teacher),(august|month),(reality|fantasy),(girl|child),(keep|protect),(card|bridge),(give|put),(become|appear),(big|heavy),(winner|candidate),(apparent|obvious),(baby|daughter),(fast|rapid),(child|adult),(winner|candidate),(job|management),(hole|wife),(situation|condition),(discussion|argument),(word|newspaper),(take|receive),(decade|century)
(boy|son),(idea|scheme),(take|obtain),(man|child),(hand|foot),(baby|daughter),(top|side),(molecule|air),(proof|fact),(job|management),(child|adult),(way|manner),(molecule|air),(hand|foot),(date|calendar),(value|belief),(king|princess),(street|car),(friend|teacher),(necessary|important),(molecule|air),(beach|sea),(explain|prove),(value|belief),(recent|new),(money|diamond)
(area|zone),(business|industry),(activity|movement),(book|essay),(big|heavy),(style|fashion),(take|carry),(activity|movement),(house|key),(idea|scheme),(get|put),(car|bridge),(bring|send),(carry|bring),(carry|bring),(activity|movement),(princess|island),(foot|head),(alcohol|wine),(get|put),(give|put),(go|send),(achieve|try),(baby|daughter),(song|story),(car|highway)
(discussion|argument),(era|decade),(beer|alcohol),(car|bridge),(snow|weather),(idea|image),(princess|island),(strength|might),(car|bridge),(come|bring),(proof|fact),(animal|person),(reality|fantasy),(beer|alcohol),(mouse|management),(proof|fact),(woman|wife),(way|manner),(activity|movement),(word|newspaper),(fast|rapid),(word|newspaper),(date|calendar),(become|appear),(take|carry),(woman|man)
